table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,is_primary_key,foreign_key_references
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",create_datetime,8,timestamp without time zone,,NO,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",modify_user_id,9,character varying,32,YES,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",modify_datetime,10,timestamp without time zone,,YES,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",charge_number,11,character varying,16,NO,,"Charge number of the parent adjudication, denormalised for lookup.",N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",oic_hearing_id,12,bigint,,YES,,NOMIS OIC_HEARING_ID. Populated for migrated hearings and for hearings synchronised back to NOMIS.,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",oic_hearing_type,13,character varying,32,NO,'GOV'::character varying,"Who hears the case, and under which rule set. One of GOV_ADULT, GOV_YOI, INAD_ADULT, INAD_YOI, GOV. GOV = governor, INAD = independent adjudicator.",N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",outcome_id,14,integer,,YES,,Foreign key to hearing_outcome. Null while the hearing is scheduled but not yet held.,N,hearing_outcome
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",hearing_pre_migrate_id,16,integer,,YES,,Legacy column from the NOMIS migration. The table it referenced was dropped in V91 and it is no longer populated.,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",representative,17,character varying,240,YES,,"Name of the prisoner's representative at the hearing, where they had one.",N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",location_uuid,19,uuid,,NO,,Location identifier in the locations-inside-prison service. This is the current location reference.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,id,1,integer,,NO,nextval('hearing_outcome_id_seq'::regclass),,Y,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,code,2,character varying,32,NO,,"What the adjudicator did. One of COMPLETE (a finding was reached - see the linked outcome row for what it was), ADJOURN, REFER_POLICE, REFER_INAD, REFER_GOV, NOMIS (outcome was entered in NOMIS rather than DPS).",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,adjudicator,3,character varying,32,NO,,Name or username of the governor or independent adjudicator who heard the case.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,adjourn_reason,4,character varying,32,YES,,"Why the hearing was adjourned. One of LEGAL_ADVICE, LEGAL_REPRESENTATION, RO_ATTEND, HELP, UNFIT, WITNESS, WITNESS_SUPPORT, MCKENZIE, EVIDENCE, INVESTIGATION, OTHER. Null unless code is ADJOURN.",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,plea,5,character varying,32,YES,,"The prisoner's plea. One of GUILTY, NOT_GUILTY, ABSTAIN, UNFIT, NOT_ASKED.",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,details,6,character varying,4000,YES,,Free text notes recorded against the hearing outcome.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,create_user_id,7,character varying,32,NO,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,create_datetime,8,timestamp without time zone,,NO,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,modify_user_id,9,character varying,32,YES,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,modify_datetime,10,timestamp without time zone,,YES,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,nomis_outcome,12,boolean,,NO,false,"True when the outcome was recorded in NOMIS rather than DPS, so DPS holds only a placeholder.",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,migrated,13,boolean,,NO,false,True when the row was created by the NOMIS migration.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,hearing_outcome_pre_migrate_id,14,integer,,YES,,Legacy column from the NOMIS migration. The table it referenced was dropped in V91 and it is no longer populated.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",id,1,integer,,NO,nextval('incident_details_id_seq'::regclass),,Y,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",date_time_of_incident,2,timestamp without time zone,,YES,,When the incident occurred.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",location_id,3,bigint,,YES,,Legacy NOMIS internal location id (AGENCY_INTERNAL_LOCATIONS.INTERNAL_LOCATION_ID). Superseded by location_uuid.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",create_user_id,4,character varying,32,NO,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",create_datetime,5,timestamp without time zone,,NO,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",modify_user_id,6,character varying,32,YES,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",modify_datetime,7,timestamp without time zone,,YES,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",handover_deadline,8,timestamp without time zone,,YES,,"Deadline for issuing the notice of report to the prisoner, calculated as 48 hours after discovery.",N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",date_time_of_discovery,9,timestamp without time zone,,NO,,When the incident was discovered. Equal to the incident date unless it was found later; the 48 hour notice clock runs from here.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",location_uuid,10,uuid,,NO,,Location identifier in the locations-inside-prison service. This is the current location reference.,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",id,1,integer,,NO,nextval('incident_role_id_seq'::regclass),,Y,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",role_code,2,character varying,5,YES,,"Paragraph 25 role code. Null means the prisoner committed the offence alone. 25a = attempts to commit, 25b = incites another to commit, 25c = assists another to commit.",N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",associated_prisoners_number,3,character varying,7,YES,,"NOMIS offender number of the other prisoner involved, where the role code requires one.",N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",create_user_id,4,character varying,32,NO,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",create_datetime,5,timestamp without time zone,,NO,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",modify_user_id,6,character varying,32,YES,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",modify_datetime,7,timestamp without time zone,,YES,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",associated_prisoners_name,8,character varying,100,YES,,"Name of the other prisoner involved, held where they are not in the current establishment and cannot be looked up.",N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",id,1,integer,,NO,nextval('incident_statement_id_seq'::regclass),,Y,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",statement,2,character varying,4000,YES,,"Free text description of the incident, up to 4000 characters.",N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",create_user_id,3,character varying,32,NO,,,N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",create_datetime,4,timestamp without time zone,,NO,,,N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",modify_user_id,5,character varying,32,YES,,,N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",modify_datetime,6,timestamp without time zone,,YES,,,N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",completed,7,boolean,,YES,,True once the reporter has marked the statement as finished.,N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,id,1,integer,,NO,nextval('offence_id_seq'::regclass),,Y,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,draft_adjudication_fk_id,2,bigint,,YES,,Foreign key to draft_adjudications.,N,draft_adjudications
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,offence_code,3,integer,,NO,,"Internal DPS offence code (an integer, not the Prison Rules paragraph). Resolved in application code by OffenceCodeLookupService against the OffenceCodes enum - there is no reference table in this database. See the reference-data export for the full code list.",N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,victim_prisoners_number,4,character varying,7,YES,,"NOMIS offender number of the prisoner victim, for offences that have one.",N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,create_user_id,5,character varying,32,NO,,,N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,create_datetime,6,timestamp without time zone,,NO,,,N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,modify_user_id,7,character varying,32,YES,,,N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,modify_datetime,8,timestamp without time zone,,YES,,,N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,victim_staff_username,9,character varying,30,YES,,"DPS username of the staff victim, for offences that have one.",N,
offence,The offence selected for a draft adjudication. In practice there is one row per draft; multiple offences are raised as separate charges.,victim_other_persons_name,10,character varying,100,YES,,Name of a victim who is neither a prisoner nor staff (for example a visitor).,N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",id,1,integer,,NO,nextval('outcome_id_seq'::regclass),,Y,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",code,2,character varying,32,NO,,"The finding or decision. One of REFER_POLICE, REFER_INAD, REFER_GOV, NOT_PROCEED, DISMISSED, PROSECUTION, SCHEDULE_HEARING, CHARGE_PROVED, QUASHED. CHARGE_PROVED is the outcome that allows punishments to be awarded; QUASHED revokes them.",N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",not_proceed_reason,3,character varying,32,YES,,"Why the charge was not proceeded with. One of ANOTHER_WAY, RELEASED, WITNESS_NOT_ATTEND, UNFIT, FLAWED, EXPIRED_NOTICE, EXPIRED_HEARING, NOT_FAIR, OTHER. Null unless code is NOT_PROCEED.",N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",details,4,character varying,4000,YES,,Free text supporting the outcome.,N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",create_user_id,5,character varying,32,NO,,,N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",create_datetime,6,timestamp without time zone,,NO,,,N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",modify_user_id,7,character varying,32,YES,,,N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",modify_datetime,8,timestamp without time zone,,YES,,,N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",reported_adjudication_fk_id,9,bigint,,YES,,Foreign key to reported_adjudications.,N,reported_adjudications
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",quashed_reason,12,character varying,32,YES,,"Why the charge was quashed. One of FLAWED_CASE, JUDICIAL_REVIEW, APPEAL_UPHELD, OTHER. Null unless code is QUASHED.",N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",oic_hearing_id,13,bigint,,YES,,"NOMIS OIC_HEARING_ID the outcome relates to, where the outcome came from or was synchronised to NOMIS.",N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",deleted,14,boolean,,YES,,"Soft delete flag. Rows where this is true are excluded from the case history and from status calculation; queries must filter on ""deleted is not true"".",N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",actual_created_date,15,timestamp without time zone,,YES,,"The real date the outcome was reached, as opposed to create_datetime which for migrated records is the date of the migration run. Use this for chronology.",N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",migrated,16,boolean,,NO,false,True when the row was created by the NOMIS migration.,N,
outcome,"A finding or decision on a charge. Some outcomes follow a hearing, others are recorded without one (for example referring to the police before any hearing). Ordering is by actual_created_date where set, otherwise create_datetime.",refer_gov_reason,17,character varying,32,YES,,"Why the case was referred to the governor. One of REVIEW_FOR_REFER_POLICE, GOV_INQUIRY, OTHER. Null unless code is REFER_GOV.",N,
protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a submitted adjudication.",id,1,integer,,NO,nextval('protected_characteristics_id_seq'::regclass),,Y,
protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a submitted adjudication.",reported_offence_fk_id,2,bigint,,YES,,Foreign key to reported_offence.,N,reported_offence
